brand,breadcrumbs,colour,description,image_urls,price,primary_image_url,product_id,product_name,product_url,reviews,sizes,sku
CARBON38,"Home,Shop All,Tops,Ultra Soft Logo Sweatshirt",Faded Black,"55% POLYESTER, 38% MODAL, 7% SPANDEX","//carbon38.com/cdn/shop/files/CARB-YD6142-BLK-24HOL-Logo-Sweatshirt-color-Faded-Black_4319-Edit.jpg?v=1733962980&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6142-BLK-24HOL-Logo-Sweatshirt-color-Faded-Black_4361-Edit.jpg?v=1733962980&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6142-BLK-24HOL-Logo-Sweatshirt-color-Faded-Black_4343-Edit.jpg?v=1733962980&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6142-BLK-24HOL-Logo-Sweatshirt-color-Faded-Black_4329-Edit.jpg?v=1733962980&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6142-BLK-24HOL-Logo-Sweatshirt-color-Faded-Black_4357-Edit.jpg?v=1733962980&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6142-BLK-24HOL-Logo-Sweatshirt-color-Faded-Black_1031-Edit.jpg?v=1733962980&width=1000",$126.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6142-BLK-24HOL-Logo-Sweatshirt-color-Faded-Black_4319-Edit.jpg?v=1733962980&width=1000,7848512323773,Ultra Soft Logo Sweatshirt,https://carbon38.com/products/logo-sweatshirt-faded-black,0,"XS,S,M,L,XL",CARB-YD6142-BLK-24HOL-XS
CARBON38,"Home,Shop All,Tops,Peplum Zip Up",Black,"73% Viscose, 15% Polyester, 11% Nylon, 1% Spandex","//carbon38.com/cdn/shop/files/CARB-YD563-BLK-24FAL-Peplum-Zip-Up-color-Black_42-Edit.jpg?v=1723595390&width=1000,//carbon38.com/cdn/shop/files/CARB-YD563-BLK-24FAL-Peplum-Zip-Up-color-Black_9658-Edit.jpg?v=1723595390&width=1000,//carbon38.com/cdn/shop/files/CARB-YD563-BLK-24FAL-Peplum-Zip-Up-color-Black_52-Edit.jpg?v=1723595390&width=1000,//carbon38.com/cdn/shop/files/CARB-YD563-BLK-24FAL-Peplum-Zip-Up-color-Black_9639-Edit.jpg?v=1723595390&width=1000,//carbon38.com/cdn/shop/files/CARB-YD563-BLK-24FAL-Peplum-Zip-Up-color-Black_9642-Edit.jpg?v=1723595390&width=1000,//carbon38.com/cdn/shop/files/CARB-YD563-BLK-24FAL-Peplum-Zip-Up-color-Black_9630-Edit.jpg?v=1723595390&width=1000,//carbon38.com/cdn/shop/files/CARB-YD563-BLK-24FAL-Peplum-Zip-Up-color-Black_11-Edit.jpg?v=1723595390&width=1000,//carbon38.com/cdn/shop/files/CARB-YD563-BLK-24FAL-Peplum-Zip-Up-color-Black_6840-Edit.jpg?v=1723595390&width=1000",$151.00 USD,//carbon38.com/cdn/shop/files/CARB-YD563-BLK-24FAL-Peplum-Zip-Up-color-Black_42-Edit.jpg?v=1723595390&width=1000,7734421651645,Peplum Zip Up,https://carbon38.com/products/peplum-zip-up-black,0,"XS,S,M,L,XL",CARB-YD563-BLK-24FAL-XS
KERRI ROSENTHAL,"Home,Shop All,Tops,Beau Cardigan",Multi,100% cashmere. Dry Clean Only. ,"//carbon38.com/cdn/shop/files/KRRNL-KR24-4242-MULTIMULTI-Beau-Cardigan-color-Multi_12275-Edit.jpg?v=1727388225&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR24-4242-MULTIMULTI-Beau-Cardigan-color-Multi_12254-Edit.jpg?v=1727388224&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR24-4242-MULTIMULTI-Beau-Cardigan-color-Multi_12287-Edit.jpg?v=1727388224&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR24-4242-MULTIMULTI-Beau-Cardigan-color-Multi_12296-Edit.jpg?v=1727388225&width=1000,//carbon38.com/cdn/shop/files/KRRNL-KR24-4242-MULTIMULTI-Beau-Cardigan-color-Multi_12305-Edit.jpg?v=1727388224&width=1000",$423.00 USD,//carbon38.com/cdn/shop/files/KRRNL-KR24-4242-MULTIMULTI-Beau-Cardigan-color-Multi_12275-Edit.jpg?v=1727388225&width=1000,7730755272893,Beau Cardigan,https://carbon38.com/products/beau-cardigan-multi,0,"XS,S,M",KRRNL-KR24-4242-MULTIMULTI-XS
THE UPSIDE,"Home,Shop All,Tops,Vail Boo Sweater",Natural,55% RWS Wool 45% Cotton,"//carbon38.com/cdn/shop/files/THEU-USW424124-MULTIMULTI-Vaill-Boo-Sweater-color-Natural_29274-Edit.jpg?v=1729806927&width=1000,//carbon38.com/cdn/shop/files/THEU-USW424124-MULTIMULTI-Vaill-Boo-Sweater-color-Natural_29278-Edit.jpg?v=1729806927&width=1000,//carbon38.com/cdn/shop/files/THEU-USW424124-MULTIMULTI-Vaill-Boo-Sweater-color-Natural_29267-Edit.jpg?v=1729806927&width=1000,//carbon38.com/cdn/shop/files/THEU-USW424124-MULTIMULTI-Vaill-Boo-Sweater-color-Natural_29281-Edit.jpg?v=1729806927&width=1000,//carbon38.com/cdn/shop/files/THEU-USW424124-MULTIMULTI-Vaill-Boo-Sweater-color-Natural_29289-Edit.jpg?v=1729806927&width=1000,//carbon38.com/cdn/shop/files/THEU-USW424124-MULTIMULTI-Vaill-Boo-Sweater-color-Natural_29296-Edit.jpg?v=1729806927&width=1000",$247.00 USD,//carbon38.com/cdn/shop/files/THEU-USW424124-MULTIMULTI-Vaill-Boo-Sweater-color-Natural_29274-Edit.jpg?v=1729806927&width=1000,7777933820093,Vail Boo Sweater,https://carbon38.com/products/vaill-boo-sweater-natural,0,"XS,S,M,L",THEU-USW424124-MULTIMULTI-XS
NORMA KAMALI,"Home,Shop All,Tops,Oversized Raglan Sleeve Top W/ Tube Scarf",Snow White,,"//carbon38.com/cdn/shop/files/NORMA-ST3246WSF96944-WHTWHI-Oversized-Raglan-Sleeve-Top-W-Tube-Scarf-color-Snow-White_6228-Edit.jpg?v=1726009707&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST3246WSF96944-WHTWHI-Oversized-Raglan-Sleeve-Top-W-Tube-Scarf-color-Snow-White_6213-Edit.jpg?v=1726009707&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST3246WSF96944-WHTWHI-Oversized-Raglan-Sleeve-Top-W-Tube-Scarf-color-Snow-White_6235-Edit.jpg?v=1726009707&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST3246WSF96944-WHTWHI-Oversized-Raglan-Sleeve-Top-W-Tube-Scarf-color-Snow-White_6245-Edit.jpg?v=1726009707&width=1000,//carbon38.com/cdn/shop/files/NORMA-ST3246WSF96944-WHTWHI-Oversized-Raglan-Sleeve-Top-W-Tube-Scarf-color-Snow-White_6230-Edit.jpg?v=1726009707&width=1000",$272.00 USD,//carbon38.com/cdn/shop/files/NORMA-ST3246WSF96944-WHTWHI-Oversized-Raglan-Sleeve-Top-W-Tube-Scarf-color-Snow-White_6228-Edit.jpg?v=1726009707&width=1000,7747143729341,Oversized Raglan Sleeve Top W/ Tube Scarf,https://carbon38.com/products/oversized-raglan-sleeve-top-w-tube-scarf-snow-white,0,"XS,S,M,L,XL",NORMA-ST3246WSF96944-WHTWHI-XS
CARBON38,"Home,Shop All,Tops,Tennis Cardigan Sweater",White,"Machine wash cold, delicate cycle. Lay flat to dry. ","//carbon38.com/cdn/shop/files/CARB-YD578-WHT-24HOL-Tennis-Pearl-Sweater-color-White_1081-Edit.jpg?v=1733274602&width=1000,//carbon38.com/cdn/shop/files/CARB-YD578-WHT-24HOL-Tennis-Pearl-Sweater-color-White_1118-Edit.jpg?v=1733274602&width=1000,//carbon38.com/cdn/shop/files/CARB-YD578-WHT-24HOL-Tennis-Pearl-Sweater-color-White_1103-Edit.jpg?v=1733274602&width=1000,//carbon38.com/cdn/shop/files/CARB-YD578-WHT-24HOL-Tennis-Pearl-Sweater-color-White_1112-Edit.jpg?v=1733274602&width=1000,//carbon38.com/cdn/shop/files/CARB-YD578-WHT-24HOL-Tennis-Pearl-Sweater-color-White_1057-Edit.jpg?v=1733274602&width=1000,//carbon38.com/cdn/shop/files/CARB-YD578-WHT-24HOL-Tennis-Pearl-Sweater-color-White_1088-Edit.jpg?v=1733274602&width=1000,//carbon38.com/cdn/shop/files/CARB-YD578-WHT-24HOL-Tennis-Pearl-Sweater-color-White_1041-Edit.jpg?v=1733274602&width=1000",$143.00 USD,//carbon38.com/cdn/shop/files/CARB-YD578-WHT-24HOL-Tennis-Pearl-Sweater-color-White_1081-Edit.jpg?v=1733274602&width=1000,7848339472573,Tennis Cardigan Sweater,https://carbon38.com/products/tennis-pearl-sweater-white,0,"XS,S,M,L,XL",CARB-YD578-WHT-24HOL-XS
CARBON38,"Home,Shop All,Tops,Sheer Spliced Mock Neck in Melt",Black,81% Nylon 19% Spandex,"//carbon38.com/cdn/shop/files/CARB-YD6111-BLK-24FAL-Sheer-Spliced-Mock-Neck-color-Black_8049-Edit.jpg?v=1724106247&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6111-BLK-24FAL-Sheer-Spliced-Mock-Neck-color-Black_8071-Edit.jpg?v=1724106247&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6111-BLK-24FAL-Sheer-Spliced-Mock-Neck-color-Black_8033-Edit.jpg?v=1724106247&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6111-BLK-24FAL-Sheer-Spliced-Mock-Neck-color-Black_8056-Edit.jpg?v=1724106246&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6111-BLK-24FAL-Sheer-Spliced-Mock-Neck-color-Black_8062-Edit.jpg?v=1724106247&width=1000,//carbon38.com/cdn/shop/files/BLACK-MELT_0079-Edit.jpg?v=1746833753&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6111-BLK-24FAL-Sheer-Spliced-Mock-Neck-color-Black_6795-Edit.jpg?v=1741299229&width=1000",$109.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6111-BLK-24FAL-Sheer-Spliced-Mock-Neck-color-Black_8049-Edit.jpg?v=1724106247&width=1000,7640589828285,Sheer Spliced Mock Neck in Melt,https://carbon38.com/products/sheer-spliced-tank-black,0,"XS,S,M,L,XL",CARB-YD6111-BLK-24FAL-XS
FORE-TE,"Home,Shop All,Tops,Margot Pullover",Black,Water & wind resistant nylon woven fabric,"//carbon38.com/cdn/shop/files/FORETE-F1007B-BLKBLK-Margot-Pullover-color-Black_1690-Edit.jpg?v=1718065269&width=1000,//carbon38.com/cdn/shop/files/FORETE-F1007B-BLKBLK-Margot-Pullover-color-Black_1669-Edit.jpg?v=1718065269&width=1000,//carbon38.com/cdn/shop/files/FORETE-F1007B-BLKBLK-Margot-Pullover-color-Black_1700-Edit.jpg?v=1718065269&width=1000,//carbon38.com/cdn/shop/files/FORETE-F1007B-BLKBLK-Margot-Pullover-color-Black_1729-Edit.jpg?v=1718065269&width=1000,//carbon38.com/cdn/shop/files/FORETE-F1007B-BLKBLK-Margot-Pullover-color-Black_1712-Edit.jpg?v=1718065269&width=1000,//carbon38.com/cdn/shop/files/FORETE-F1007B-BLKBLK-Margot-Pullover-color-Black_1702-Edit.jpg?v=1718065269&width=1000,//carbon38.com/cdn/shop/files/FORETE-F1007B-BLKBLK-Margot-Pullover-color-Black_1751-Edit.jpg?v=1718065120&width=1000",$142.00 USD,//carbon38.com/cdn/shop/files/FORETE-F1007B-BLKBLK-Margot-Pullover-color-Black_1690-Edit.jpg?v=1718065269&width=1000,7687591362749,Margot Pullover,https://carbon38.com/products/margot-pullover-black,0,"XS,S,M,L",FORETE-F1007B-BLKBLK-XS
CARBON38,"Home,Shop All,Tops,Short Sleeve Pocket Tee",Black,50% Cotton 50% Modal. MACHINE WASH COLD W/ LIKE COLORS. DO NOT BLEACH. TUMBLE DRY LOW. ,"//carbon38.com/cdn/shop/files/CARB-YD638A-BLK-23SS-Short-Sleeve-Pocket-Tee-color-Black_0081.jpg?v=1682452550&width=1000,//carbon38.com/cdn/shop/files/CARB-YD638A-BLK-23SS-Short-Sleeve-Pocket-Tee-color-Black_0070.jpg?v=1682452550&width=1000,//carbon38.com/cdn/shop/files/CARB-YD638A-BLK-23SS-Short-Sleeve-Pocket-Tee-color-Black_0107.jpg?v=1682452550&width=1000,//carbon38.com/cdn/shop/files/CARB-YD638A-BLK-23SS-Short-Sleeve-Pocket-Tee-color-Black_0115.jpg?v=1682452550&width=1000,//carbon38.com/cdn/shop/files/CARB-YD638A-BLK-23SS-Short-Sleeve-Pocket-Tee-color-Black_0120.jpg?v=1682452550&width=1000,//carbon38.com/cdn/shop/products/CARB-YD638A-BLACK-23SS-Short-Sleeve-Pocket-Tee-color-BLACK_666.jpg?v=1682452550&width=1000,//carbon38.com/cdn/shop/products/CARB-YD638A-BLACK-23SS-Short-Sleeve-Pocket-Tee-color-BLACK_0303.jpg?v=1682452550&width=1000",$78.00 USD,//carbon38.com/cdn/shop/files/CARB-YD638A-BLK-23SS-Short-Sleeve-Pocket-Tee-color-Black_0081.jpg?v=1682452550&width=1000,,Short Sleeve Pocket Tee,https://carbon38.com/products/short-slv-pocket-tee-black,0,"XS,S,M,L,XL",
CARBON38,"Home,Shop All,Tops,Long RacerBack Tank",Black,"50% Cotton, 50% Modal. Machine wash cold with like colors. ","//carbon38.com/cdn/shop/files/CARB-YD335-BLK-23SS-Long-RacerBack-Tank-color-Black_21.jpg?v=1685656615&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-BLK-23SS-Long-RacerBack-Tank-color-Black_3.jpg?v=1685656615&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-BLK-23SS-Long-RacerBack-Tank-color-Black_4.jpg?v=1685656615&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-BLK-23SS-Long-RacerBack-Tank-color-Black_12.jpg?v=1685656615&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-BLK-23SS-Long-RacerBack-Tank-color-Black_13.jpg?v=1685656615&width=1000",$68.00 USD,//carbon38.com/cdn/shop/files/CARB-YD335-BLK-23SS-Long-RacerBack-Tank-color-Black_21.jpg?v=1685656615&width=1000,,Long RacerBack Tank,https://carbon38.com/products/long-racerback-tank-black,0,"XS,S,M,L,XL",
NORMA KAMALI,"Home,Shop All,Tops,One Shoulder Peasant Top",Black,,"//carbon38.com/cdn/shop/files/NORMA-KK3226PL786001-BLKBLK-One-Shoulder-Peasant-Top-color-Black_0043-Edit.jpg?v=1717187790&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK3226PL786001-BLKBLK-One-Shoulder-Peasant-Top-color-Black_0031-Edit.jpg?v=1717187790&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK3226PL786001-BLKBLK-One-Shoulder-Peasant-Top-color-Black_0056-Edit.jpg?v=1717186661&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK3226PL786001-BLKBLK-One-Shoulder-Peasant-Top-color-Black_0061-Edit.jpg?v=1717186661&width=1000,//carbon38.com/cdn/shop/files/NORMA-KK3226PL786001-BLKBLK-One-Shoulder-Peasant-Top-color-Black_0069-Edit.jpg?v=1717186661&width=1000",$145.00 USD,//carbon38.com/cdn/shop/files/NORMA-KK3226PL786001-BLKBLK-One-Shoulder-Peasant-Top-color-Black_0043-Edit.jpg?v=1717187790&width=1000,7695943762109,One Shoulder Peasant Top,https://carbon38.com/products/one-shoulder-peasant-top-black,0,"XS,S,M,L,XL",NORMA-KK3226PL786001-BLKBLK-XS
ADIDAS BY STELLA MCCARTNEY,"Home,Shop All,Tops,aSMC TruePace Running Crop",Black,,"//carbon38.com/cdn/shop/files/ADID-IB5528-BLKBLK-aSMC-TruePace-Running-Crop-color-Black_18-Edit.jpg?v=1724098161&width=1000,//carbon38.com/cdn/shop/files/ADID-IB5528-BLKBLK-aSMC-TruePace-Running-Crop-color-Black_50-Edit.jpg?v=1724098161&width=1000,//carbon38.com/cdn/shop/files/ADID-IB5528-BLKBLK-aSMC-TruePace-Running-Crop-color-Black_32-Edit.jpg?v=1724098161&width=1000,//carbon38.com/cdn/shop/files/ADID-IB5528-BLKBLK-aSMC-TruePace-Running-Crop-color-Black_24-Edit.jpg?v=1724098161&width=1000,//carbon38.com/cdn/shop/files/ADID-IB5528-BLKBLK-aSMC-TruePace-Running-Crop-color-Black_39-Edit.jpg?v=1724098161&width=1000",$60.00 USD,//carbon38.com/cdn/shop/files/ADID-IB5528-BLKBLK-aSMC-TruePace-Running-Crop-color-Black_18-Edit.jpg?v=1724098161&width=1000,7651418276029,aSMC TruePace Running Crop,https://carbon38.com/products/asmc-truepace-running-crop-black,0,"XS,S,M,L,XL",ADID-IB5528-BLKBLK-XS
CARBON38,"Home,Shop All,Tops,Wide Scoop Bra Tank in Melt",BLACK,81% Nylon 19% Spandex. MACHINE WASH COLD WITH OTHERR LIKE COLORS. DO NOT BLEACH. HANG TO DRY. DO NOT IRON. DO NOT DRY CLEAN.,"//carbon38.com/cdn/shop/files/CARB-YD640-BLK-22HOL-Wide-scoop-Bra-Tank-in-melt-color-BLACK_21232.jpg?v=1701380480&width=1000,//carbon38.com/cdn/shop/files/CARB-YD640-BLK-22HOL-Wide-scoop-Bra-Tank-in-melt-color-BLACK_21217.jpg?v=1719513691&width=1000,//carbon38.com/cdn/shop/files/CARB-YD640-BLK-22HOL-Wide-scoop-Bra-Tank-in-melt-color-BLACK_21251.jpg?v=1719513691&width=1000,//carbon38.com/cdn/shop/files/CARB-YD640-BLK-22HOL-Wide-scoop-Bra-Tank-in-melt-color-BLACK_21243.jpg?v=1719513691&width=1000,//carbon38.com/cdn/shop/files/BLACK-MELT_0079-Edit.jpg?v=1746833753&width=1000,//carbon38.com/cdn/shop/products/CARB-YD640-BLK-22HOL-WidescoopBraTank-color-BLACK_0011.jpg?v=1741299965&width=1000",$98.00 USD,//carbon38.com/cdn/shop/files/CARB-YD640-BLK-22HOL-Wide-scoop-Bra-Tank-in-melt-color-BLACK_21232.jpg?v=1701380480&width=1000,,Wide Scoop Bra Tank in Melt,https://carbon38.com/products/wide-scoop-bra-tank-black,0,"XS,S,M,L,XL",
CARBON38,"Home,Shop All,Tops,Long Racerback Tank",Enamel Blue,"The Carbon38 Long RacerBack Tank in our exclusive color, Enamel Blue is perfect for everyday wear. Match this back to our Takara set in Enamel Blue Croc for a monochromatic look or mix and match with our other leggings.","//carbon38.com/cdn/shop/files/CARB-YD335-ENAMBLUE-24FAL-Long-Racerback-Tank-color-Enamel-Blue_4612-Edit.jpg?v=1734036594&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-ENAMBLUE-24FAL-Long-Racerback-Tank-color-Enamel-Blue_4611-Edit.jpg?v=1734036594&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-ENAMBLUE-24FAL-Long-Racerback-Tank-color-Enamel-Blue_4618-Edit.jpg?v=1734036594&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-ENAMBLUE-24FAL-Long-Racerback-Tank-color-Enamel-Blue_4627-Edit.jpg?v=1734036594&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-ENAMBLUE-24FAL-Long-Racerback-Tank-color-Enamel-Blue_4631-Edit.jpg?v=1734036594&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-ENAMBLUE-24FAL-Long-Racerback-Tank-color-Enamel-Blue_4635-Edit.jpg?v=1734036594&width=1000,//carbon38.com/cdn/shop/files/CARB-YD335-ENAMBLUE-24FAL-Long-Racerback-Tank-color-Enamel-Blue_4576-Edit.jpg?v=1734036594&width=1000",$58.00 USD,//carbon38.com/cdn/shop/files/CARB-YD335-ENAMBLUE-24FAL-Long-Racerback-Tank-color-Enamel-Blue_4612-Edit.jpg?v=1734036594&width=1000,7692624691389,Long Racerback Tank,https://carbon38.com/products/long-racerback-tank-enamel-blue,0,"XS,S,M,L,XL",CARB-YD335-ENAMBLUE-24FAL-XS
ADIDAS BY STELLA MCCARTNEY,"Home,Shop All,Tops,aSMC Reg Sweatshirt",Corpnk,,"//carbon38.com/cdn/shop/files/ADID-IW9909-PNKPINNEO-aSMC-Reg-Sweatshirt-color-Corpnk_1401-Edit.jpg?v=1724707472&width=1000,//carbon38.com/cdn/shop/files/ADID-IW9909-PNKPINNEO-aSMC-Reg-Sweatshirt-color-Corpnk_1392-Edit.jpg?v=1724707472&width=1000,//carbon38.com/cdn/shop/files/ADID-IW9909-PNKPINNEO-aSMC-Reg-Sweatshirt-color-Corpnk_1407-Edit.jpg?v=1724707472&width=1000,//carbon38.com/cdn/shop/files/ADID-IW9909-PNKPINNEO-aSMC-Reg-Sweatshirt-color-Corpnk_1412-Edit.jpg?v=1724707472&width=1000,//carbon38.com/cdn/shop/files/ADID-IW9909-PNKPINNEO-aSMC-Reg-Sweatshirt-color-Corpnk_1424-Edit.jpg?v=1724707472&width=1000,//carbon38.com/cdn/shop/files/ADID-IW9909-PNKPINNEO-aSMC-Reg-Sweatshirt-color-Corpnk_1426-Edit.jpg?v=1724707472&width=1000",$102.00 USD,//carbon38.com/cdn/shop/files/ADID-IW9909-PNKPINNEO-aSMC-Reg-Sweatshirt-color-Corpnk_1401-Edit.jpg?v=1724707472&width=1000,7661997686973,aSMC Reg Sweatshirt,https://carbon38.com/products/asmc-reg-sweatshirt-corpnk,0,"XS,S,M,L,XL",ADID-IW9909-PNKPINNEO-XS
PORT DE BRAS,"Home,Shop All,Tops,Serena Top",Chantilly / Dark Chocolate / Black,"To guarantee the longevity of your piece, please follow these guidelines:","//carbon38.com/cdn/shop/files/PORT-TOP-CHY-0054-IVRYBRWDRK-Serena-Top-color-Chantilly-Dark-Chocolate-Black_21524-Edit.jpg?v=1728328142&width=1000,//carbon38.com/cdn/shop/files/PORT-TOP-CHY-0054-IVRYBRWDRK-Serena-Top-color-Chantilly-Dark-Chocolate-Black_21532-Edit.jpg?v=1728328141&width=1000,//carbon38.com/cdn/shop/files/PORT-TOP-CHY-0054-IVRYBRWDRK-Serena-Top-color-Chantilly-Dark-Chocolate-Black_21536-Edit.jpg?v=1728328142&width=1000,//carbon38.com/cdn/shop/files/PORT-TOP-CHY-0054-IVRYBRWDRK-Serena-Top-color-Chantilly-Dark-Chocolate-Black_21545-Edit.jpg?v=1728328142&width=1000",$123.00 USD,//carbon38.com/cdn/shop/files/PORT-TOP-CHY-0054-IVRYBRWDRK-Serena-Top-color-Chantilly-Dark-Chocolate-Black_21524-Edit.jpg?v=1728328142&width=1000,7837928325309,Serena Top,https://carbon38.com/products/serena-top-chantilly-dark-chocolate-black,0,"XS,S,M,L,XL",PORT-TOP-CHY-0054-IVRYBRWDRK-XS
CARBON38,"Home,Shop All,Tops,Front Twist Tank",White,50% Cotton 50% Modal. MACHINE WASH COLD W/ LIKE COLORS. DO NOT BLEACH. TUMBLE DRY LOW. ,"//carbon38.com/cdn/shop/files/CARB-YD6053-WHT-23SM-Front-Twist-Tank-color-White_25362.jpg?v=1686592966&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-WHT-23SM-Front-Twist-Tank-color-White_25410.jpg?v=1700078579&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-WHT-23SM-Front-Twist-Tank-color-White_25382.jpg?v=1700078579&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-WHT-23SM-Front-Twist-Tank-color-White_25393.jpg?v=1700078579&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-WHT-23SM-Front-Twist-Tank-color-White_253621.jpg?v=1706912788&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6053-WHT-23SM-Front-Twist-Tank-color-White_27814.jpg?v=1706912788&width=1000",$68.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6053-WHT-23SM-Front-Twist-Tank-color-White_25362.jpg?v=1686592966&width=1000,7480705876157,Front Twist Tank,https://carbon38.com/products/front-twist-tank-white,0,"XS,S,M,L,XL",CARB-YD6053-WHT-23SM-XS
CARBON38,"Home,Shop All,Tops,Long Sleeve Off Shoulder Tee",White,50% Cotton 50% Modal,"//carbon38.com/cdn/shop/files/CARB-YD6028-WHT-23FAL-Long-Sleeve-Off-Shoulder-Tee-color-White_2.jpg?v=1694191404&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6028-WHT-23FAL-Long-Sleeve-Off-Shoulder-Tee-color-White_1.jpg?v=1694191404&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6028-WHT-23FAL-Long-Sleeve-Off-Shoulder-Tee-color-White.jpg?v=1694191404&width=1000,//carbon38.com/cdn/shop/files/CARB-YD6028-WHT-23FAL-Long-Sleeve-Off-Shoulder-Tee-color-White_0279.jpg?v=1694191404&width=1000",$88.00 USD,//carbon38.com/cdn/shop/files/CARB-YD6028-WHT-23FAL-Long-Sleeve-Off-Shoulder-Tee-color-White_2.jpg?v=1694191404&width=1000,7480945836221,Long Sleeve Off Shoulder Tee,https://carbon38.com/products/long-sleeve-off-shoulder-tee-white,0,"XS,S,M,L,XL",CARB-YD6028-WHT-23FAL-XS
CARBON38,"Home,Shop All,Tops,Off Shoulder Sweatshirt in French Terry",White,"The Off Shoulder Sweatshirt from Carbon38 adds plenty of cool comfort to your wardrobe. With a roomy fit, a slouchy silhouette, and a raw-edged asymmetrical neckline, this French terry sweatshirt keeps things effortlessly laid-back. ","//carbon38.com/cdn/shop/files/CARB-YD615-WHIWHI-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_3198-Edit.jpg?v=1719945829&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHIWHI-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_3204-Edit.jpg?v=1741306024&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHT-22HOL-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_0368-Edit_TXT.jpg?v=1745357681&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHT-22HOL-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_0374-Edit_TXT.jpg?v=1745358169&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHIWHI-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_3182-Edit.jpg?v=1745358169&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHIWHI-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_3217-Edit.jpg?v=1745358169&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHIWHI-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_3230-Edit.jpg?v=1745358169&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHIWHI-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_3238-Edit.jpg?v=1745358169&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHIWHI-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_16011.jpg?v=1745358169&width=1000,//carbon38.com/cdn/shop/files/WHITE-FRENCH-TERRY_0119-Edit.jpg?v=1745358169&width=1000,//carbon38.com/cdn/shop/files/CARB-YD615-WHIWHI-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_4970-Edit.jpg?v=1745358169&width=1000",$148.00 USD,//carbon38.com/cdn/shop/files/CARB-YD615-WHIWHI-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_3198-Edit.jpg?v=1719945829&width=1000,,Off Shoulder Sweatshirt in French Terry,https://carbon38.com/products/off-shoulder-sweatshirt-white,0,"XS,S,M,L,XL",
